family,depth,width,residual,learning_rate,activation,gamma_scale,val_loss,val_accuracy,val_f1,best_epoch,epochs_run,status,seconds
mixed,3,13,False,0.01,tanh,2.0,0.028345189409618398,1.0,1.0,57,97,ok,0.07484824999999873
mixed,3,26,False,0.003,tanh,0.5,0.0350600902842074,0.9642857142857143,0.9665831244778613,235,250,ok,0.2724857920000012
mixed,3,26,False,0.003,tanh,2.0,0.026385107347143024,1.0,1.0,202,242,ok,0.2596647499999989
mixed,3,26,False,0.01,tanh,0.5,0.01325776528579542,1.0,1.0,235,250,ok,0.2710500830000022
mixed,3,26,False,0.01,tanh,2.0,0.020549138262072535,1.0,1.0,63,103,ok,0.11463570800000156
mixed,3,13,True,0.003,tanh,0.5,0.01907172278907154,1.0,1.0,235,250,ok,0.20640837499999876
mixed,3,13,True,0.003,tanh,2.0,0.0128982952530233,1.0,1.0,235,250,ok,0.20433816699999952
mixed,3,13,True,0.01,tanh,0.5,0.01567411669232689,1.0,1.0,87,127,ok,0.09990150000000142
mixed,3,13,True,0.01,tanh,2.0,0.01081450263594061,1.0,1.0,87,127,ok,0.09766183300000009
mixed,3,26,True,0.003,tanh,0.5,0.021850027041252097,1.0,1.0,235,250,ok,0.26578262499999994
mixed,3,26,True,0.003,tanh,2.0,0.034417808570442195,0.9642857142857143,0.9665831244778613,203,243,ok,0.2604225840000005
mixed,3,26,True,0.01,tanh,0.5,0.012434283244940059,1.0,1.0,203,243,ok,0.2677718330000012
mixed,3,26,True,0.01,tanh,2.0,0.03046217327750996,0.9642857142857143,0.9665831244778613,105,145,ok,0.15895516600000192
mixed,5,13,False,0.003,tanh,0.5,0.038992647077367944,0.9642857142857143,0.9665831244778613,230,250,ok,0.298214999999999
mixed,5,13,False,0.003,tanh,2.0,0.020722984957503,1.0,1.0,249,250,ok,0.2922876670000001
mixed,5,13,False,0.01,tanh,0.5,0.042527647964710855,0.9642857142857143,0.9665831244778613,101,141,ok,0.1637612500000003
mixed,5,13,False,0.01,tanh,2.0,0.011553615547584191,1.0,1.0,242,250,ok,0.291520000000002
mixed,5,26,False,0.003,tanh,0.5,0.017000311752125637,1.0,1.0,196,236,ok,0.40851183400000224
mixed,5,26,False,0.003,tanh,2.0,0.006725125774951915,1.0,1.0,246,250,ok,0.44977854200000067
mixed,5,26,False,0.01,tanh,0.5,0.006093686961285974,1.0,1.0,197,237,ok,0.41386454100000236
mixed,5,26,False,0.01,tanh,2.0,0.0027746637607246392,1.0,1.0,247,250,ok,0.44229950000000073
mixed,5,13,True,0.003,tanh,0.5,0.016959277400692807,1.0,1.0,235,250,ok,0.2986791249999996
mixed,5,13,True,0.003,tanh,2.0,0.020202465912594746,1.0,1.0,202,242,ok,0.293871124999999
mixed,5,13,True,0.01,tanh,0.5,0.01466740562634855,1.0,1.0,140,180,ok,0.21470466599999938
mixed,5,13,True,0.01,tanh,2.0,0.02567786625965876,1.0,1.0,66,106,ok,0.12622400000000056
mixed,5,26,True,0.003,tanh,0.5,0.01100794780607994,1.0,1.0,239,250,ok,0.449337584000002
mixed,5,26,True,0.003,tanh,2.0,0.021459516490668757,1.0,1.0,211,250,ok,0.44497795799999906
mixed,5,26,True,0.01,tanh,0.5,0.004812639898136843,1.0,1.0,239,250,ok,0.4975783329999999
